,employer,link,location,position_title,salary
69,WilsonHCG,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12kiCtEFYyau3_mwwVyoKQor41HtCXGlFEYA_7LXbW1_k7_VSLfAq2dz9EFCA4Lhz_MQ3SEJOZE3H-rIqZBQ2TzwIrtxjSzqbi7rTY53QDDIzDA3HIFWLY34bt__my2KR4W5TEi4AP01n1ow6TESU-xFj1ZHXjz8U3-jQ3x2vkYpsRhWDbqyL7IWl60fREI59jjWzqHU4hDBhUGJucTAbvbfX1M6pNb1PKF3MtDGq9KqArEvAJCiies-W0iM3dTHFuc4-5oaltMv1rOaVo_B2wrc5U2i-u8oJCSGtFxW4kwl72_KwXpYOIvOgUPd_uwJEYqNS3MMU1vfGTnVmybugMRACCbvZDe29YaVWrqO4fX-zoWu9Injm6Rlhmyb3gjIg6T8oEe7SP_aA&p=9&fvj=1&vjs=3,,Sr. Data Analyst,
70,shopkick,http://ca.indeed.com/rc/clk?jk=0c4d86702701c18b&fccid=d9424d2494bb17e7&vjs=3,"Toronto, ON",Data Scientist,
71,NorthOne,http://ca.indeed.com/rc/clk?jk=0f973ec62ae8486f&fccid=dca2e344433f10ee&vjs=3,"Toronto, ON",Data Scientist,
72,Cineplex Digital Media,http://ca.indeed.com/rc/clk?jk=1938af8deb49046b&fccid=01a5b39f260f43cd&vjs=3,"Waterloo, ON",Senior Data Scientist - CDM,
73,Advanced Analytics and Research Lab (AAARL),http://ca.indeed.com/rc/clk?jk=55d963f02ffab2b0&fccid=7d5418aa8bf737a7&vjs=3,"Toronto, ON",Analytics Client Lead and Development,"$3,500 a month"
74,REPLICANT,http://ca.indeed.com/rc/clk?jk=8a61a7ed597eedd7&fccid=2e7b78103be850d7&vjs=3,Remote,Backend Data Engineer (Machine Learning),
75,Lixar I.T,http://ca.indeed.com/company/Lixar-I.T/jobs/Hybrid-Data-Scientist-Data-Engineer-897b9269c41e4d6e?fccid=fd7f88bbed9d3ec2&vjs=3,"Toronto, ON",Hybrid Data Scientist/Data Engineer,
76,sgsco,http://ca.indeed.com/rc/clk?jk=e9a7bcf1d61b167c&fccid=8b6902cf5e1e68e5&vjs=3,"Toronto, ON",Intern - Data Science,
77,Yelp,http://ca.indeed.com/rc/clk?jk=52df01128134e3f6&fccid=0e94073a1c937bd1&vjs=3,Remote,Data Analyst (Remote),
78,"Southern Graphics Systems, Canada Co.",http://ca.indeed.com/rc/clk?jk=1c8b6fd52a42f420&fccid=40bcb0498bdc6bd3&vjs=3,"Toronto, ON",Intern - Data Science,
