,employer,estimated_salary,link,location,position_title
322,Aviva,"Estimated: $80,000 - $110,000 a year",/jobsearch/viewjob/CypPD_XgxyCTIwtTUXyraQK8qMLIL8zJvi1NQgcAKJh0AZlUukuuIg?ak=data+science&l=,"— Markham, ON",Machine Learning Engineer
323,Teknobuilt,"Estimated: $80,000 - $110,000 a year",/jobsearch/viewjob/eY-4FfAPaS7GB2MYxxHu2EkOSaSNKkvMVh7urv4qrKaFrwsVblFw1A?ak=data+science&l=,,Data Scientist - Edmonton AB
324,Cineplex Digital Media,"Estimated: $64,000 - $95,000 a year",/jobsearch/viewjob/0wXTJWkHQI-dZMpUqPeSZSySin6cuYOqmBpZsybAKByX1xC_6tDuWA?ak=data+science&l=,"— Waterloo, ON",Senior Data Scientist - CDM
325,Credit Sesame,"Estimated: $77,000 - $97,000 a year",/jobsearch/viewjob/MZCUFt-X82YyyPwa8RKOYYUyhYDp1XqmP-xswEQ-hmOSxNylYzc-Kw?ak=data+science&l=,"— Toronto, ON","Senior Data Analyst, Operations and Fraud"
326,TandemLaunch,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/kuktf-ImFuHC-wy2F2W6NlyMiYfhlLMx3spqv3lo98h82iWGR3yAGQ?ak=data+science&l=,"— Montréal, QC",Remote Signal Processing/Machine Learning Engineer
327,Bus.com,"Estimated: $70,000 - $99,000 a year",/jobsearch/viewjob/bJbJrCsD2xSANF8_f0vPhjlafaDhEZK5RiD0cPMxdaVHXxclvNqMFQ?ak=data+science&l=,"— Montréal, QC",Data Scientist
328,MSi Corp (Bell Canada),$60 - $70 an hour,/jobsearch/viewjob/Yi7SimEbFtYXKJ0ZD-HyRARfaQnqAWgUvqWuytjNEmnMAmQmDVwm_Q?ak=data+science&l=,"— Toronto, ON",Senior BI Manager
329,Deloitte,"Estimated: $79,000 - $100,000 a year",/jobsearch/viewjob/tzUIvI08g-HwzNlfx8eRDACMb4DbZEzqv8IPMCdqp8pZ9SPwaE4IDw?ak=data+science&l=,"— Toronto, ON","Manager, Data Governance(Advisory), Omnia AI Toronto"
330,Katalyst Data Management,"Estimated: $70,000 - $89,000 a year",/jobsearch/viewjob/8umGb4t2nsNSAujA43xve30A81lj-8KSZwnYl7R6N3a6VaGUde-09g?ak=data+science&l=,— Canada,Machine Learning Engineer – OCR
331,Tangentia,"Estimated: $89,000 - $120,000 a year",/jobsearch/viewjob/B5MekcvRGyDBBaIu_jorSSJtEpvLiV2o71aZdlvt0DcjaVqb5WmIJg?ak=data+science&l=,"— Toronto, ON",Business Analyst - RPA & AI
332,AlayaCare,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/QOC2sDwxoFwO_eqAGpYsdvAfhEKxtX1ZnEDKq7sGnsAjkAMQpns14w?ak=data+science&l=,"— Montréal, QC",Data Scientist
333,David Aplin Group,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/bc2YEl3Cbooq0cTxJpRe6lgGJz7vPKPt8NZ0opMl_ZsS8oV1rZN8_Q?ak=data+science&l=,"— Winnipeg, MB",Machine Learning Specialist
334,Canadian National Railway,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/plIQotE3EJm_O4Xd_Gp0uWGPrDHmgC0n4dGSoV1-noGCjq_8dZa8aQ?ak=data+science&l=,"— Montréal, QC","Specialist Software Development, Machine Learning and Visual Analytics"
335,Client Of Emergitel,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/I4gBruu5mXbRbfQZtTvh6-7nL9hdG0mkLNKB3rln60wRXXSNPzwmig?ak=data+science&l=,"— Montréal, QC",Data Analyst (SQL/Python/AI)
336,BTA Design Services,"Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/Jnik2tK2Z2KONNrUVYO4M1ZCHXrGpZOvcHZ9We2KjPzW9l-jQsM2jw?ak=data+science&l=,"— Ottawa, ON","Embedded Software Designer: Machine Learning, Computer Vision, ADAS"
337,Celestica,"Estimated: $73,000 - $100,000 a year",/jobsearch/viewjob/1Nie7hxCQOmRiREJ3In6gQHcebUoPWY0MsGozhDFB6Z4lR-_kOmrtA?ak=data+science&l=,"— Toronto, ON","Student Intern, Data Analyst & Quote Controller"
338,CAE Inc.,"Estimated: $73,000 - $100,000 a year",/jobsearch/viewjob/p8Ba8b4UHTuVrjZAuvZptajBjR9XUPgpePj3CXhsSzHh2qELBScxSA?ak=data+science&l=,,Scientifique des données / Data Scientist
339,Hired Recruiters,"Estimated: $64,000 - $88,000 a year",/jobsearch/viewjob/_ODk8qPWPONKwdL-b7X2wWPJ9BWPqL_bSdi04tjJr_NaLX3Z6X2ovQ?ak=data+science&l=,"— Toronto, ON",Machine Learning Engineer - Content Signals
340,Pinterest,"Estimated: $65,000 - $82,000 a year",/jobsearch/viewjob/6_inZ0jcptgQUig6p5Qq4Ow8Lg_FDcfzM2aoe4lTEgj-ieCZ21b2vg?ak=data+science&l=,"— Toronto, ON","Machine Learning Engineer, Content Signals"
341,Boast Capital,"Estimated: $89,000 - $120,000 a year",/jobsearch/viewjob/hPGMTYgHWnuNjvk4xtWRvoD7CMfV2TCU2tMmBYYGVuAoPZHoFq9o-w?ak=data+science&l=,"— Toronto, ON",Software Engineer – AI/Machine Learning
342,Stradigi AI,"Estimated: $67,000 - $92,000 a year",/jobsearch/viewjob/l85GJ-BuB3qsoH0NDB-v-p4VU2Mq3CMA-NipBRvDzGxnqPF4rg23-Q?ak=data+science&l=,"— Montréal, QC",Data Scientist
343,Brain Finance,"Estimated: $55,000 - $77,000 a year",/jobsearch/viewjob/eUKLsnsKX9wF9aLpJrjRx-xpuTSaAwxqonEXRMb5rk5KK_21Gx58jQ?ak=data+science&l=,"— Montréal, QC",Data Scientist
344,Skycope Technologies Inc,"$80,000 - $120,000 a year",/jobsearch/viewjob/Qvt8X8H03KkA1F9-ndD6F5yeg0t1hrFY-iIZ4wfNniFQWs0uHdZAyA?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
345,The Home Depot,"$80,000 - $120,000 a year",/jobsearch/viewjob/_I-d-dlmsM3M2Y8ILQA9d0sA8QnJ6BoXPF4zfdDh0TmOyA0S0IfRTw?ak=data+science&l=,,"Business Analyst, Visual Strategy and Analytics – VOSM"
346,Compugen Inc,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/YHt-mR0wGQRS6a0pyrT3Ov-S1onNHkaHfo0NU3zzBVlScOnkNVsY6w?ak=data+science&l=,"— Calgary, AB",Advanced Support Specialist
347,Prodigy Game,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/PSAS14yUFQckaeW0pS_t7948RZyfOWjNlDgQSEmXmcz8mFfXtMJRow?ak=data+science&l=,"— Oakville, ON","Applied Scientist, Revenue & Modelling"
348,QQuote,"$40,000 - $50,000 a year",/jobsearch/viewjob/_mQFzrQmD-_9WQoa0R3okWxlZKVKceA62CnN0BuSDY87S7j0U2Q1oA?ak=data+science&l=,"— Kingston, ON",Automotive Software Data Analyst / Tester
349,Geotab,"Estimated: $81,000 - $110,000 a year",/jobsearch/viewjob/jKYQR_9Bo47ps0SF-SZScJfiIztkw3uLtamTIk4wImUCk8E6Yh9zgQ?ak=data+science&l=,"— Oakville, ON",Senior Data Scientist
350,PRA Health Sciences,"Estimated: $76,000 - $110,000 a year",/jobsearch/viewjob/jxNqlcFiT2WEvRgd3eAjMb7uIkPFuD7kj9F7xd9yS952Jo1qtAfLCg?ak=data+science&l=,— Remote,Principal Statistical Programmer
351,Replicon,"Estimated: $78,000 - $100,000 a year",/jobsearch/viewjob/7l7Dn-4_CvoVvbmc3Z6QBpTW8EgZpSM3X2wxKAhQawgnU7BfF_mQPg?ak=data+science&l=,"— Calgary, AB",Data Scientist
352,Saskatchewan Polytechnic,"Estimated: $62,000 - $86,000 a year",/jobsearch/viewjob/zL1jAJ3lR8Ua2sSebHCJfEQ6Loo5LqfK4wgLxj9gmWV9qvbfBePQzg?ak=data+science&l=,"— Saskatoon, SK",Artificial Intelligence and Data Analytics post graduate instructor
353,Cerebri AI,"Estimated: $81,000 - $110,000 a year",/jobsearch/viewjob/q7Uj20nxOsWhf1MKMABOa29u7QNo5MM1onuni3cEYTcN4d7fXMdXaQ?ak=data+science&l=,"— Toronto, ON",AI Engineer
354,Intact,"Estimated: $81,000 - $110,000 a year",/jobsearch/viewjob/Hn_Q6aXDbTgZOrlsgWtSHUcdvN2Tp5VaLVMtDdklcFc-9uQdzGdqzg?ak=data+science&l=,,"Senior Data Scientist, Intact Lab"
355,Digital Extremes,"Estimated: $80,000 - $100,000 a year",/jobsearch/viewjob/dwgydLAFy7WYDhTgMbv34VAsMVqkEn10ffGBu6iu2RsnvYpWWCGrdg?ak=data+science&l=,"— London, ON",Senior Data Scientist
356,Sterling Life Sciences,"Estimated: $53,000 - $70,000 a year",/jobsearch/viewjob/udDLjewGxH8Hy5Ci6Y0uqcNI9srfAaAf4ZUtX_WMiPPDql33GlBt8A?ak=data+science&l=,"— Markham, ON",Statistical Programmer
357,Zesty.ai,"Estimated: $71,000 - $92,000 a year",/jobsearch/viewjob/Pz3w7UzM_E-A1EopTqU75_JL5JBSRHTSYV7utmkuc5YJB-g1bJ1x4w?ak=data+science&l=,"— Montréal, QC",Data Scientist
358,AdGear,"Estimated: $69,000 - $95,000 a year",/jobsearch/viewjob/yRFd3k--2-hdN43dkvDqMPclR8EHD61PSXdvJ7bN66EoOzucb0UNiA?ak=data+science&l=,"— Montréal, QC",Data Scientist
359,Neon,"Estimated: $58,000 - $76,000 a year",/jobsearch/viewjob/Q1m4fIN3D5fDN6V5XrV8mBdDv5SZttaAu31TGThwX-q5VgOGMWRrZQ?ak=data+science&l=,"— Vancouver, BC",Data Scientist
360,David Aplin Group,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/bc2YEl3Cbooq0cTxJpRe6lgGJz7vPKPt8NZ0opMl_ZsS8oV1rZN8_Q?ak=data+science&l=,"— Winnipeg, MB",Machine Learning Specialist
361,Canadian National Railway,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/plIQotE3EJm_O4Xd_Gp0uWGPrDHmgC0n4dGSoV1-noGCjq_8dZa8aQ?ak=data+science&l=,"— Montréal, QC","Specialist Software Development, Machine Learning and Visual Analytics"
362,Client Of Emergitel,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/I4gBruu5mXbRbfQZtTvh6-7nL9hdG0mkLNKB3rln60wRXXSNPzwmig?ak=data+science&l=,"— Montréal, QC",Data Analyst (SQL/Python/AI)
363,BTA Design Services,"Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/Jnik2tK2Z2KONNrUVYO4M1ZCHXrGpZOvcHZ9We2KjPzW9l-jQsM2jw?ak=data+science&l=,"— Ottawa, ON","Embedded Software Designer: Machine Learning, Computer Vision, ADAS"
364,"AMZN CAN Fulfillment Svcs, ULC","Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/yy1OSJj2-CsetysKEPqMtkJ7KPA1uyto_C3d5N-7lj5_ANmvwy2B1A?ak=data+science&l=,,Applied Scientist
365,Altus Group,"Estimated: $74,000 - $100,000 a year",/jobsearch/viewjob/y91DRXIkjNAw0CbbqYCxe-1HHPVS8nO8JTxG0XVErgqVoqqH4ikD5g?ak=data+science&l=,"— Toronto, ON",Business Intelligence Specialist (1-year Contract)
366,Scribendi,"Estimated: $68,000 - $90,000 a year",/jobsearch/viewjob/Eh1yD6GTHJMEiQGwjXxuDcOt-uiJUzdtfPWM1noT791wd9p4k6Ti1A?ak=data+science&l=,"— Chatham-Kent, ON",Machine Learning Engineer
367,Prodigy Game,"Estimated: $53,000 - $66,000 a year",/jobsearch/viewjob/x25HEPcN5AflcLWRjGj1yDd7crhRLBuzjPMSG8PJzWZgaBt-4KWglA?ak=data+science&l=,"— Oakville, ON","Data Scientist, Game"
368,IBM,"Estimated: $62,000 - $88,000 a year",/jobsearch/viewjob/8_JfsQTcEGI7NOFUGQJ4IjF3Nc3xnYThlriAn4DvPymBmUhe0neZ1g?ak=data+science&l=,"— Calgary, AB",Machine Learning Developer Intern (4 months)
369,Ubisoft,"Estimated: $78,000 - $110,000 a year",/jobsearch/viewjob/7pH8-jtm6oUXLfvGdTYTL8fTXAEomvxAWaXc5JvWjla6OQKlY4fL3g?ak=data+science&l=,"— Montréal, QC",BI / Big Data Developer
370,ThinkRF Corp,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/KPIc6IcIRRcilQaH_USyRHgyPASBanOhjPeoQm7kvP-2g46fngjPLQ?ak=data+science&l=,"— Ottawa, ON",Machine Learning Programmer
371,Skycope Technologies Inc,"$80,000 - $120,000 a year",/jobsearch/viewjob/Qvt8X8H03KkA1F9-ndD6F5yeg0t1hrFY-iIZ4wfNniFQWs0uHdZAyA?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
372,The Home Depot,"$80,000 - $120,000 a year",/jobsearch/viewjob/_I-d-dlmsM3M2Y8ILQA9d0sA8QnJ6BoXPF4zfdDh0TmOyA0S0IfRTw?ak=data+science&l=,,"Business Analyst, Visual Strategy and Analytics – VOSM"
373,Compugen Inc,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/YHt-mR0wGQRS6a0pyrT3Ov-S1onNHkaHfo0NU3zzBVlScOnkNVsY6w?ak=data+science&l=,"— Calgary, AB",Advanced Support Specialist
374,Lumentum Operations LLC,"Estimated: $56,000 - $82,000 a year",/jobsearch/viewjob/Fgt7EJDlTHyAefzANDQhXz4KVKV7JXsIwP0XviMOcFzHZEGUxiXkKQ?ak=data+science&l=,"— Ottawa, ON",Intermediate Data Analyst-Tableau Developer
375,Pinterest,"Estimated: $66,000 - $87,000 a year",/jobsearch/viewjob/FTml7s0S-nUPVY4K3Gu9gcLCR5qxh4iajKYWMTLv0Fp6wigv-Yj_bA?ak=data+science&l=,"— Toronto, ON",PhD University Grad Machine Learning Engineer
376,McKinsey & Company,"Estimated: $68,000 - $90,000 a year",/jobsearch/viewjob/BBHTFSH0RY2f5NS6UlGteaUYKOs_NrtdZyRq3yVEEbCKm5z2nUxqdw?ak=data+science&l=,"— Montréal, QC",Data Scientist - QuantumBlack
377,Goldman Sachs,"Estimated: $76,000 - $110,000 a year",/jobsearch/viewjob/rhkm99EZohAkDbUN-WZgbns9PkPDsjJ96Hriw-hzDs3PCEwjXWNqVA?ak=data+science&l=,"— Toronto, ON",Machine Learning Engineer - Core Engineering
378,Universite Concordia,"$73,000 - $87,000 a year",/jobsearch/viewjob/UznTI0VkQBXbuqMPr5LTB5oM7KSDKubofWb_Bjt6GoCGW8bH8G_G7g?ak=data+science&l=,"— Montréal, QC",DATA ANALYST/STATISTICIAN
379,TD Bank,"$73,000 - $87,000 a year",/jobsearch/viewjob/-othLWY66qlDAIcTa-DfOgQ6ho0nFL_ZQRWT6BfcAEg3bzeZ8UjhkA?ak=data+science&l=,,Sr Machine Learning Product Engineer (Layer 6)
380,Pet Cancer Fund,"Estimated: $94,000 - $130,000 a year",/jobsearch/viewjob/XOLNXFMrgRq6tkeTxlDLIWxJyIOquRm1ETTNGzqFyWNPmuttE9zkow?ak=data+science&l=,"— Ottawa, ON","Manager, Data Analytics (Volunteer)"
381,BenchSci,"Estimated: $83,000 - $110,000 a year",/jobsearch/viewjob/qVj4Ou1BC8577I8PvkmZHAxjmTZBbXCbnZGabnytlJzjHMkSyXvOag?ak=data+science&l=,"— Toronto, ON",Analytics Engineer
382,Workday,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/FgfEndIaQCey3c1bwIOSEnZXG7M9crrM_4wssmPwPpFnoRMmWWKezw?ak=data+science&l=,"— Victoria, BC",Software Engineer - Machine Learning
383,IMS Group,"Estimated: $88,000 - $120,000 a year",/jobsearch/viewjob/ntFV3cU1OZojhdU6-p5mdGciqBE1ori24CxOlcEP3PDcoJgzxTjlUA?ak=data+science&l=,"— Toronto, ON",Associate Director Statistician
384,Colliers International,"Estimated: $100,000 - $140,000 a year",/jobsearch/viewjob/hChcNpyJ5ZTCKiWH9rSU5iAP3orm_MJxbRaBNCQ0V0C0DJIxgWaXmw?ak=data+science&l=,"— Toronto, ON","Senior Manager, Enterprise Data & BI"
385,Awakedata,"Estimated: $58,000 - $79,000 a year",/jobsearch/viewjob/8RVdmF711MRlarweHK5GZ1Odd5SZO6ERjACVUoE1tqBHDjv7XSaj4A?ak=data+science&l=,"— Burnaby, BC",Data Scientist
386,BC IMC,"Estimated: $68,000 - $94,000 a year",/jobsearch/viewjob/dgcCV0jbuVradLjIo47R3Sw_Gmr8QwWBhxew8poyj4whATYC6aeHjg?ak=data+science&l=,"— Victoria, BC",Senior Data Scientist
387,David Aplin Group,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/bc2YEl3Cbooq0cTxJpRe6lgGJz7vPKPt8NZ0opMl_ZsS8oV1rZN8_Q?ak=data+science&l=,"— Winnipeg, MB",Machine Learning Specialist
