,employer,estimated_salary,link,location,position_title
77,Critical Mass,"Estimated: $62,000 - $79,000 a year",/jobsearch/viewjob/VRtP6zfgaxpHw9pOkTnfBzYWh4o1qPxm-ShbL5-0ji_PxviOd75_CQ?ak=data+science&l=,"— Toronto, ON",Marketing Science Analyst - Data Strategy
78,Hopper,"Estimated: $65,000 - $88,000 a year",/jobsearch/viewjob/qnq8MBT46NoUUd4DV9JwviZteLcTloOf70Et7wAfmhcsCgKKzkOXaQ?ak=data+science&l=,"— Toronto, ON",Data Analyst
79,Loblaw Companies Limited,"Estimated: $95,000 - $130,000 a year",/jobsearch/viewjob/8yRwLilMNWB7M6SyrXkpN6oOowMSTUEYPv6xfFsCesUSknh8xyBvGw?ak=data+science&l=,"— Brampton, ON","Director, Data Science"
80,thinkCOMPASS,"Estimated: $63,000 - $80,000 a year",/jobsearch/viewjob/8mBoLpyVkwwGg-lqI9SypDzM-GMO0S7kSJiQzxxRbYlCnwJ4FPdNfg?ak=data+science&l=,"— Vaughan, ON",Data Scientist
81,Juno College,"Estimated: $63,000 - $80,000 a year",/jobsearch/viewjob/LwX_qPSN3z9-v7liOpBa2oAvtZveXKyGEGRGaaiMgwMLQZu8xwCVOg?ak=data+science&l=,,"Lead Educator, Data Science"
82,Xanadu Quantum Technologies Inc.,"Estimated: $76,000 - $99,000 a year",/jobsearch/viewjob/ObtCBVcptHKfX7CRYox364S1npCejScFEb_CFXV2EU4Te265Xv2xtA?ak=data+science&l=,"— Toronto, ON",Machine Learning/Data Engineer
83,Acerta Analytics Solutions Inc,"$90,000 - $100,000 a year",/jobsearch/viewjob/sQDa2VpMcMoxMBScuSr7pJaceJMnUr4eRz9Q8HMila2L2vRMoB3Uhw?ak=data+science&l=,"— Kitchener, ON",Data Scientist
84,Michael Page CA,"Estimated: $78,000 - $110,000 a year",/jobsearch/viewjob/Fq3v3kR54y2pHjg6_53b5JnbvXwwm_EpnCsHWFWVM9nAoJ_JkV4eCg?ak=data+science&l=,"— Toronto, ON",Principle Machine Learning Engineer
85,Canadian National Railway,"Estimated: $78,000 - $110,000 a year",/jobsearch/viewjob/5afqkBMZmjMKnUJHSaL50wI0IWAPdyUFbhAnFevchPYCiZa4EcTgpw?ak=data+science&l=,,"Spécialiste du développement de logiciels, du Machine Learning et Visual Analytics"
86,AU-ZONE TECHNOLOGIES INC.,"Estimated: $68,000 - $99,000 a year",/jobsearch/viewjob/4X8kSiCqlbR16kBL2n5IeInfv_xGp16dVwslK5NargU5TmxqTqKYqg?ak=data+science&l=,"— Calgary, AB",Application Engineer (Machine Learning) ID395
